Rainha Das Quedas - FM (89.1),Abelardo Luz / SC,Galvão / SC,São Domingos / SC,Ipuaçu / SC,Entre Rios / SC,Marema / SC,Xanxerê / SC,Bom Jesus / SC,Ouro Verde / SC,Passos Maia / SC,Vargeão / SC,Ponte Serrada / SC,Faxinal dos Guedes / SC,Xaxim / SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104.9 - Comunitária (104.9),Concórdia / SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atual - FM (103.5),Concórdia / SC,Seara / SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rural - FM (93.7),Concórdia / SC,Abelardo Luz / SC,Água Doce / SC,Alto Bela Vista / SC,Arabutã / SC,Campos Novos / SC,Capinzal / SC,Catanduvas / SC,Chapecó / SC,Cordilheira Alta / SC,Coronel Freitas / SC,Entre Rios / SC,Erval Velho / SC,Vargem Bonita / SC,Faxinal dos Guedes / SC,Herval d'Oeste / SC,Ipira / SC,Ipuaçu / SC,Ipumirim / SC,Irani / SC,Itá / SC,Jaborá / SC,Joaçaba / SC,Lindóia do Sul / SC,Luzerna / SC,Ouro Verde / SC,Ouro / SC,Paial / SC,Passos Maia / SC,Peritiba / SC,Piratuba / SC,Ponte Serrada / SC,Presidente Castello Branco / SC,Seara / SC,Vargeão / SC,Xanxerê / SC,Xavantina / SC,Xaxim / SC,Zortéa / SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Continental - FM (96.1),Coronel Freitas / SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nossa (Jaraguá do Sul) - FM (99.9),Corupá / SC,Jaraguá do Sul / SC,Guaramirim / SC,Schroeder / SC,Massaranduba / SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eldorado - FM (98.5),Criciúma / SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cidade em Dia (Araranguá) - FM (89.1),Criciúma / SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92 (Araranguá) - FM (92.5),Criciúma / SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monte Carlo - FM (90.3),Criciúma / SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Som Maior - FM (100.7),Criciúma / SC,Araranguá / SC,Balneário Rincão / SC,Bom Jardim da Serra / SC,Içara / SC,Imbituba / SC,Jacinto Machado / SC,Jaguaruna / SC,Laguna / SC,Maracajá / SC,Morro da Fumaça / SC,Morro Grande / SC,Orleans / SC,Passo de Torres / SC,Sombrio / SC,Tubarão / SC,Urussanga / SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105 (Lauro Muller) - FM (105.5),Criciúma / SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlântida - FM (97.3),Criciúma / SC,Urussanga / SC,Turvo / SC,Tubarão / SC,Treze de Maio / SC,Treviso / SC,Timbé do Sul / SC,Sombrio / SC,Siderópolis / SC,São Ludgero / SC,Santa Rosa do Sul / SC,Sangão / SC,Pedras Grandes / SC,Orleans / SC,Nova Veneza / SC,Morro Grande / SC,Morro da Fumaça / SC,Meleiro / SC,Maracajá / SC,Lauro Müller / SC,Laguna / SC,Jaguaruna / SC,Jacinto Machado / SC,Içara / SC,Gravatal / SC,Forquilhinha / SC,Ermo / SC,Cocal do Sul / SC,Capivari de Baixo / SC,Braço do Norte / SC,Balneário Gaivota / SC,Balneário Arroio do Silva / SC,Araranguá / SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jovem Pan News (Nova Veneza) - FM (104.3),Criciúma / SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cidade (Urussanga) - FM (93.5),Criciúma / SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mix (Içara) - FM (91.1),Criciúma / SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
